ID	CONTROL_TYPE	miRNA_ID	GENE_NAME	ACCESSION_STRING	CHROMOSOMAL_LOCATION	SPOT_ID
A_25_P00010058	FALSE	hsa-miR-526b_v9.1	hsa-miR-526b_v9.1	mir|hsa-miR-526b_v9.1|mir|MIMAT0002835	chr19:58889480-58889495	
A_25_P00010059	FALSE	hsa-miR-526b_v9.1	hsa-miR-526b_v9.1	mir|hsa-miR-526b_v9.1|mir|MIMAT0002835	chr19:58889478-58889495	
A_25_P00010060	FALSE	hsa-miR-526b_v9.1	hsa-miR-526b_v9.1	mir|hsa-miR-526b_v9.1|mir|MIMAT0002835	chr19:58889479-58889495	
A_25_P00010061	FALSE	hsa-miR-376b	hsa-miR-376b	mir|hsa-miR-376b|mir|MIMAT0002172	chr14:101506836-101506855	
A_25_P00010062	FALSE	hsa-miR-376b	hsa-miR-376b	mir|hsa-miR-376b|mir|MIMAT0002172	chr14:101506837-101506855	
A_25_P00010063	FALSE	hsa-miR-376b	hsa-miR-376b	mir|hsa-miR-376b|mir|MIMAT0002172	chr14:101506838-101506855	
A_25_P00010068	FALSE	hsa-miR-199a*_v9.1	hsa-miR-199a*_v9.1	mir|hsa-miR-199a*_v9.1|mir|MIMAT0000232	chr1:170380387-170380370,chr19:010789168-010789151	
A_25_P00010069	FALSE	hsa-miR-199a*_v9.1	hsa-miR-199a*_v9.1	mir|hsa-miR-199a*_v9.1|mir|MIMAT0000232	chr1:170380387-170380369,chr19:010789168-010789150	
A_25_P00010070	FALSE	hsa-let-7b	hsa-let-7b	mir|hsa-let-7b|mir|MIMAT0000063	chr22:46509575-46509592	
A_25_P00010071	FALSE	hsa-let-7b	hsa-let-7b	mir|hsa-let-7b|mir|MIMAT0000063	chr22:46509576-46509592	
A_25_P00010072	FALSE	hsa-let-7c	hsa-let-7c	mir|hsa-let-7c|mir|MIMAT0000064	chr21:17912162-17912179	
A_25_P00010073	FALSE	hsa-let-7c	hsa-let-7c	mir|hsa-let-7c|mir|MIMAT0000064	chr21:17912163-17912179	
A_25_P00010074	FALSE	hsa-miR-520d_v9.1	hsa-miR-520d_v9.1	mir|hsa-miR-520d_v9.1|mir|MIMAT0002856	chr19:58915219-58915237	
A_25_P00010075	FALSE	hsa-miR-520d_v9.1	hsa-miR-520d_v9.1	mir|hsa-miR-520d_v9.1|mir|MIMAT0002856	chr19:58915220-58915237	
A_25_P00010076	FALSE	hsa-miR-181d_v9.1	hsa-miR-181d_v9.1	mir|hsa-miR-181d_v9.1|mir|MIMAT0002821	chr19:13846729-13846747	
A_25_P00010077	FALSE	hsa-miR-181d_v9.1	hsa-miR-181d_v9.1	mir|hsa-miR-181d_v9.1|mir|MIMAT0002821	chr19:13846730-13846747	
A_25_P00010078	FALSE	hsa-miR-146a	hsa-miR-146a	mir|hsa-miR-146a|mir|MIMAT0000449	chr5:159912383-159912400	
A_25_P00010079	FALSE	hsa-miR-146a	hsa-miR-146a	mir|hsa-miR-146a|mir|MIMAT0000449	chr5:159912384-159912400	
A_25_P00010080	FALSE	hsa-miR-520f	hsa-miR-520f	mir|hsa-miR-520f|mir|MIMAT0002830|mir|hsa-miR-520c_v9.1|mir|MIMAT0002846	chr19:054185469-054185488,chr19:058902575-058902594	
A_25_P00010081	FALSE	hsa-miR-520f	hsa-miR-520f	mir|hsa-miR-520f|mir|MIMAT0002830|mir|hsa-miR-520c_v9.1|mir|MIMAT0002846	chr19:054185470-054185488,chr19:058902576-058902594	
A_25_P00010082	FALSE	hsa-miR-29a_v9.1	hsa-miR-29a_v9.1	mir|hsa-miR-29a_v9.1|mir|MIMAT0000086	chr7:130212107-130212090	
A_25_P00010083	FALSE	hsa-miR-29a_v9.1	hsa-miR-29a_v9.1	mir|hsa-miR-29a_v9.1|mir|MIMAT0000086	chr7:130212107-130212091	
A_25_P00010084	FALSE	hsa-miR-26b_v9.1	hsa-miR-26b_v9.1	mir|hsa-miR-26b_v9.1|mir|MIMAT0000083	chr2:218975629-218975645	
A_25_P00010085	FALSE	hsa-miR-26b_v9.1	hsa-miR-26b_v9.1	mir|hsa-miR-26b_v9.1|mir|MIMAT0000083	chr2:218975628-218975645	
A_25_P00010086	FALSE	hsa-let-7a	hsa-let-7a	mir|hsa-let-7a|mir|MIMAT0000062	chr9:096938247-096938265,chr11:122017255-122017237,chr22:046508635-046508653	
A_25_P00010088	FALSE	hsa-let-7f	hsa-let-7f	mir|hsa-let-7f|mir|MIMAT0000067	chr9:096938636-096938656,chrX:053584181-053584161	
A_25_P00010089	FALSE	hsa-let-7f	hsa-let-7f	mir|hsa-let-7f|mir|MIMAT0000067	chr9:096938637-096938656,chrX:053584181-053584162	
A_25_P00010090	FALSE	hsa-miR-487a	hsa-miR-487a	mir|hsa-miR-487a|mir|MIMAT0002178	chr14:101518839-101518852	
A_25_P00010091	FALSE	hsa-miR-487a	hsa-miR-487a	mir|hsa-miR-487a|mir|MIMAT0002178	chr14:101518837-101518852	
A_25_P00010092	FALSE	hsa-miR-487a	hsa-miR-487a	mir|hsa-miR-487a|mir|MIMAT0002178	chr14:101518838-101518852	
A_25_P00010093	FALSE	hsa-miR-492	hsa-miR-492	mir|hsa-miR-492|mir|MIMAT0002812	chr12:95228208-95228225	
A_25_P00010094	FALSE	hsa-miR-492	hsa-miR-492	mir|hsa-miR-492|mir|MIMAT0002812	chr12:95228209-95228225	
A_25_P00010095	FALSE	hsa-miR-626	hsa-miR-626	mir|hsa-miR-626|mir|MIMAT0003295	chr15:41983845-41983861	
A_25_P00010096	FALSE	hsa-miR-626	hsa-miR-626	mir|hsa-miR-626|mir|MIMAT0003295	chr15:41983844-41983861	
A_25_P00010097	FALSE	hsa-miR-494_v9.1	hsa-miR-494_v9.1	mir|hsa-miR-494_v9.1|mir|MIMAT0002816	chr14:100565781-100565794	
A_25_P00010098	FALSE	hsa-miR-494_v9.1	hsa-miR-494_v9.1	mir|hsa-miR-494_v9.1|mir|MIMAT0002816	chr14:100565780-100565794	
A_25_P00010099	FALSE	hsa-miR-380	hsa-miR-380	mir|hsa-miR-380|mir|MIMAT0000735|mir|hsa-miR-380-3p_v9.1|mir|MIMAT0000735	chr14:100561146-100561167,chr14:101491393-101491414	
A_25_P00010100	FALSE	hsa-miR-380	hsa-miR-380	mir|hsa-miR-380|mir|MIMAT0000735|mir|hsa-miR-380-3p_v9.1|mir|MIMAT0000735	chr14:100561147-100561167,chr14:101491394-101491414	
A_25_P00010101	FALSE	hsa-miR-186_v9.1	hsa-miR-186_v9.1	mir|hsa-miR-186_v9.1|mir|MIMAT0000456	chr1:71305938-71305917	
A_25_P00010102	FALSE	hsa-miR-186_v9.1	hsa-miR-186_v9.1	mir|hsa-miR-186_v9.1|mir|MIMAT0000456	chr1:71305938-71305918	
A_25_P00010103	FALSE	hsa-miR-299-3p	hsa-miR-299-3p	mir|hsa-miR-299-3p|mir|MIMAT0000687	chr14:101490174-101490190	
A_25_P00010104	FALSE	hsa-miR-299-3p	hsa-miR-299-3p	mir|hsa-miR-299-3p|mir|MIMAT0000687	chr14:101490175-101490190	
A_25_P00010109	FALSE	hsa-miR-145_v9.1	hsa-miR-145_v9.1	mir|hsa-miR-145_v9.1|mir|MIMAT0000437	chr5:148790420-148790440	
A_25_P00010110	FALSE	hsa-miR-145_v9.1	hsa-miR-145_v9.1	mir|hsa-miR-145_v9.1|mir|MIMAT0000437	chr5:148790421-148790440	
A_25_P00010113	FALSE	hsa-miR-487b	hsa-miR-487b	mir|hsa-miR-487b|mir|MIMAT0003180	chr14:101512847-101512863	
A_25_P00010114	FALSE	hsa-miR-487b	hsa-miR-487b	mir|hsa-miR-487b|mir|MIMAT0003180	chr14:101512848-101512863	
A_25_P00010115	FALSE	hsa-miR-154*	hsa-miR-154*	mir|hsa-miR-154*|mir|MIMAT0000453	chr14:101526145-101526163	
A_25_P00010116	FALSE	hsa-miR-154*	hsa-miR-154*	mir|hsa-miR-154*|mir|MIMAT0000453	chr14:101526146-101526163	
A_25_P00010117	FALSE	hsa-miR-493*	hsa-miR-493*	mir|hsa-miR-493*|mir|MIMAT0002813|mir|hsa-miR-493-5p_v9.1|mir|MIMAT0002813	chr14:100405165-100405186,chr14:101335412-101335433	
A_25_P00010118	FALSE	hsa-miR-493*	hsa-miR-493*	mir|hsa-miR-493*|mir|MIMAT0002813|mir|hsa-miR-493-5p_v9.1|mir|MIMAT0002813	chr14:100405166-100405186,chr14:101335413-101335433	
A_25_P00010119	FALSE	hsa-miR-493*	hsa-miR-493*	mir|hsa-miR-493*|mir|MIMAT0002813|mir|hsa-miR-493-5p_v9.1|mir|MIMAT0002813	chr14:100405167-100405186,chr14:101335414-101335433	
A_25_P00010120	FALSE	hsa-miR-493*	hsa-miR-493*	mir|hsa-miR-493*|mir|MIMAT0002813|mir|hsa-miR-493-5p_v9.1|mir|MIMAT0002813	chr14:100405168-100405186,chr14:101335415-101335433	
A_25_P00010121	FALSE	hsa-miR-548b-3p	hsa-miR-548b-3p	mir|hsa-miR-548b-3p|mir|MIMAT0003254|mir|hsa-miR-548b_v9.1|mir|MIMAT0003254	chr6:119390293-119390278,chr6:119431992-119431977	
A_25_P00010122	FALSE	hsa-miR-548b-3p	hsa-miR-548b-3p	mir|hsa-miR-548b-3p|mir|MIMAT0003254|mir|hsa-miR-548b_v9.1|mir|MIMAT0003254	chr6:119390293-119390277,chr6:119431992-119431976	
A_25_P00010123	FALSE	hsa-miR-548b-3p	hsa-miR-548b-3p	mir|hsa-miR-548b-3p|mir|MIMAT0003254|mir|hsa-miR-548b_v9.1|mir|MIMAT0003254	chr6:119390293-119390275,chr6:119431992-119431974	
A_25_P00010124	FALSE	hsa-miR-548b-3p	hsa-miR-548b-3p	mir|hsa-miR-548b-3p|mir|MIMAT0003254|mir|hsa-miR-548b_v9.1|mir|MIMAT0003254	chr6:119390293-119390276,chr6:119431992-119431975	
A_25_P00010125	FALSE	hsa-miR-377	hsa-miR-377	mir|hsa-miR-377|mir|MIMAT0000730	chr14:101528434-101528452	
A_25_P00010126	FALSE	hsa-miR-377	hsa-miR-377	mir|hsa-miR-377|mir|MIMAT0000730	chr14:101528435-101528452	
A_25_P00010127	FALSE	hsa-miR-122a_v9.1	hsa-miR-122a_v9.1	mir|hsa-miR-122a_v9.1|mir|MIMAT0000421	chr18:54269305-54269322	
A_25_P00010128	FALSE	hsa-miR-122a_v9.1	hsa-miR-122a_v9.1	mir|hsa-miR-122a_v9.1|mir|MIMAT0000421	chr18:54269304-54269322	
A_25_P00010129	FALSE	hsa-miR-497	hsa-miR-497	mir|hsa-miR-497|mir|MIMAT0002820	chr17:6921273-6921259	
A_25_P00010130	FALSE	hsa-miR-497	hsa-miR-497	mir|hsa-miR-497|mir|MIMAT0002820	chr17:6921273-6921258	
A_25_P00010131	FALSE	hsa-miR-148a	hsa-miR-148a	mir|hsa-miR-148a|mir|MIMAT0000243	chr7:25989603-25989586	
A_25_P00010132	FALSE	hsa-miR-148a	hsa-miR-148a	mir|hsa-miR-148a|mir|MIMAT0000243	chr7:25989603-25989585	
A_25_P00010133	FALSE	hsa-miR-148b	hsa-miR-148b	mir|hsa-miR-148b|mir|MIMAT0000759	chr12:54731066-54731083	
A_25_P00010134	FALSE	hsa-miR-148b	hsa-miR-148b	mir|hsa-miR-148b|mir|MIMAT0000759	chr12:54731067-54731083	
A_25_P00010135	FALSE	hsa-miR-10b_v9.1	hsa-miR-10b_v9.1	mir|hsa-miR-10b_v9.1|mir|MIMAT0000254	chr2:176723306-176723324	
A_25_P00010136	FALSE	hsa-miR-10b_v9.1	hsa-miR-10b_v9.1	mir|hsa-miR-10b_v9.1|mir|MIMAT0000254	chr2:176723307-176723324	
A_25_P00010137	FALSE	hsa-miR-208a	hsa-miR-208a	mir|hsa-miR-208a|mir|MIMAT0000241|mir|hsa-miR-208_v9.1|mir|MIMAT0000241	chr14:022927709-022927692,chr14:023857869-023857852	
A_25_P00010138	FALSE	hsa-miR-208a	hsa-miR-208a	mir|hsa-miR-208a|mir|MIMAT0000241|mir|hsa-miR-208_v9.1|mir|MIMAT0000241	chr14:022927709-022927691,chr14:023857869-023857851	
A_25_P00010141	FALSE	hsa-miR-17-3p_v9.1	hsa-miR-17-3p_v9.1	mir|hsa-miR-17-3p_v9.1|mir|MIMAT0000071	chr13:90800913-90800929	
A_25_P00010142	FALSE	hsa-miR-17-3p_v9.1	hsa-miR-17-3p_v9.1	mir|hsa-miR-17-3p_v9.1|mir|MIMAT0000071	chr13:90800914-90800929	
A_25_P00010147	FALSE	hsa-miR-539	hsa-miR-539	mir|hsa-miR-539|mir|MIMAT0003163	chr14:101513672-101513687	
A_25_P00010148	FALSE	hsa-miR-539	hsa-miR-539	mir|hsa-miR-539|mir|MIMAT0003163	chr14:101513670-101513687	
A_25_P00010149	FALSE	hsa-miR-539	hsa-miR-539	mir|hsa-miR-539|mir|MIMAT0003163	chr14:101513669-101513687	
A_25_P00010150	FALSE	hsa-miR-539	hsa-miR-539	mir|hsa-miR-539|mir|MIMAT0003163	chr14:101513671-101513687	
A_25_P00010151	FALSE	hsa-miR-378*	hsa-miR-378*	mir|hsa-miR-378*|mir|MIMAT0000731|mir|hsa-miR-378_v9.1|mir|MIMAT0000731	chr5:149092589-149092606,chr5:149112396-149112413	
A_25_P00010152	FALSE	hsa-miR-378*	hsa-miR-378*	mir|hsa-miR-378*|mir|MIMAT0000731|mir|hsa-miR-378_v9.1|mir|MIMAT0000731	chr5:149092590-149092606,chr5:149112397-149112413	
A_25_P00010153	FALSE	hsa-miR-324-5p	hsa-miR-324-5p	mir|hsa-miR-324-5p|mir|MIMAT0000761	chr17:7126653-7126638	
A_25_P00010154	FALSE	hsa-miR-324-5p	hsa-miR-324-5p	mir|hsa-miR-324-5p|mir|MIMAT0000761	chr17:7126653-7126639	
A_25_P00010155	FALSE	hsa-miR-373	hsa-miR-373	mir|hsa-miR-373|mir|MIMAT0000726	chr19:54292007-54292024	
A_25_P00010156	FALSE	hsa-miR-373	hsa-miR-373	mir|hsa-miR-373|mir|MIMAT0000726	chr19:54292008-54292024	
A_25_P00010157	FALSE	hsa-miR-373	hsa-miR-373	mir|hsa-miR-373|mir|MIMAT0000726	chr19:54292009-54292024	
A_25_P00010158	FALSE	hsa-miR-433	hsa-miR-433	mir|hsa-miR-433|mir|MIMAT0001627	chr14:101348295-101348307	
A_25_P00010159	FALSE	hsa-miR-433	hsa-miR-433	mir|hsa-miR-433|mir|MIMAT0001627	chr14:101348296-101348307	
A_25_P00010160	FALSE	hsa-miR-371-3p	hsa-miR-371-3p	mir|hsa-miR-371-3p|mir|MIMAT0000723|mir|hsa-miR-371_v9.1|mir|MIMAT0000723	chr19:054290974-054290992,chr19:058982786-058982804	
A_25_P00010161	FALSE	hsa-miR-371-3p	hsa-miR-371-3p	mir|hsa-miR-371-3p|mir|MIMAT0000723|mir|hsa-miR-371_v9.1|mir|MIMAT0000723	chr19:054290975-054290992,chr19:058982787-058982804	
A_25_P00010162	FALSE	hsa-miR-302d	hsa-miR-302d	mir|hsa-miR-302d|mir|MIMAT0000718	chr4:113569225-113569208	
A_25_P00010163	FALSE	hsa-miR-302d	hsa-miR-302d	mir|hsa-miR-302d|mir|MIMAT0000718	chr4:113569225-113569209	
A_25_P00010164	FALSE	hsa-miR-302d	hsa-miR-302d	mir|hsa-miR-302d|mir|MIMAT0000718	chr4:113569225-113569210	
A_25_P00010165	FALSE	hsa-miR-519e_v9.1	hsa-miR-519e_v9.1	mir|hsa-miR-519e_v9.1|mir|MIMAT0002829	chr19:58875060-58875077	
A_25_P00010166	FALSE	hsa-miR-519e_v9.1	hsa-miR-519e_v9.1	mir|hsa-miR-519e_v9.1|mir|MIMAT0002829	chr19:58875059-58875077	
A_25_P00010167	FALSE	hsa-miR-517c	hsa-miR-517c	mir|hsa-miR-517c|mir|MIMAT0002866|mir|hsa-miR-519a|mir|MIMAT0002869	chr19:054244626-054244644,chr19:054255706-054255724,chr19:054265654-054265672	
A_25_P00010168	FALSE	hsa-miR-517c	hsa-miR-517c	mir|hsa-miR-517c|mir|MIMAT0002866|mir|hsa-miR-519a|mir|MIMAT0002869	chr19:054244627-054244644,chr19:054255707-054255724,chr19:054265655-054265672	
A_25_P00010169	FALSE	hsa-miR-520g	hsa-miR-520g	mir|hsa-miR-520g|mir|MIMAT0002858	chr19:54225480-54225497	
A_25_P00010170	FALSE	hsa-miR-520g	hsa-miR-520g	mir|hsa-miR-520g|mir|MIMAT0002858	chr19:54225479-54225497	
A_25_P00010171	FALSE	hsa-miR-520g	hsa-miR-520g	mir|hsa-miR-520g|mir|MIMAT0002858	chr19:54225481-54225497	
A_25_P00010172	FALSE	hsa-miR-521	hsa-miR-521	mir|hsa-miR-521|mir|MIMAT0002854	chr19:054219903-054219922,chr19:054251945-054251964	
A_25_P00010173	FALSE	hsa-miR-521	hsa-miR-521	mir|hsa-miR-521|mir|MIMAT0002854	chr19:054219904-054219922,chr19:054251946-054251964	
A_25_P00010174	FALSE	hsa-miR-519d_v9.1	hsa-miR-519d_v9.1	mir|hsa-miR-519d_v9.1|mir|MIMAT0002853	chr19:58908472-58908488	
A_25_P00010175	FALSE	hsa-miR-519d_v9.1	hsa-miR-519d_v9.1	mir|hsa-miR-519d_v9.1|mir|MIMAT0002853	chr19:58908473-58908488	
A_25_P00010176	FALSE	hsa-miR-518e_v9.1	hsa-miR-518e_v9.1	mir|hsa-miR-518e_v9.1|mir|MIMAT0002861	chr19:58924962-58924978	
A_25_P00010177	FALSE	hsa-miR-518e_v9.1	hsa-miR-518e_v9.1	mir|hsa-miR-518e_v9.1|mir|MIMAT0002861	chr19:58924963-58924978	
A_25_P00010178	FALSE	hsa-miR-325	hsa-miR-325	mir|hsa-miR-325|mir|MIMAT0000771	chrX:76225866-76225852	
A_25_P00010179	FALSE	hsa-miR-325	hsa-miR-325	mir|hsa-miR-325|mir|MIMAT0000771	chrX:76225866-76225849	
A_25_P00010180	FALSE	hsa-miR-325	hsa-miR-325	mir|hsa-miR-325|mir|MIMAT0000771	chrX:76225866-76225850	
